time,temperature,density,fusion_power,E_field,control_signal
1.99,0.8986579282360471,1.1912340439105436e+19,2.3675767466646762e-05,0.0,27.794876524339685
2.0,0.8950704762104302,1.1921863755020284e+19,2.3666257884561948e-05,0.0,27.85371929424545
2.0100000000000002,0.8914973453315275,1.1931386690010114e+19,2.365672042085129e-05,0.0,27.912526763719498
2.02,0.8879384784291686,1.1940909244090163e+19,2.364715516413618e-05,0.0,27.971299073681557
2.0300000000000002,0.8843938185614072,1.1950431417275666e+19,2.363756220292405e-05,0.0,28.030036364488772
2.04,0.8808633090136099,1.1959953209581859e+19,2.3627941625608127e-05,0.0,28.088738775937987
2.05,0.8773468932975484,1.1969474621023977e+19,2.361829352046729e-05,0.0,28.147406447267965
2.06,0.8738445151504964,1.1978995651617255e+19,2.360861797566588e-05,0.0,28.206039517161614
2.07,0.8703561185343288,1.1988516301376926e+19,2.3598915079253586e-05,0.0,28.26463812374827
2.08,0.8668816476346253,1.1998036570318223e+19,2.358918491916523e-05,0.0,28.323202404605805
2.09,0.8634210468597773,1.200755645845638e+19,2.357942758322061e-05,0.0,28.381732496762886
2.1,0.8599742608400986,1.2017075965806625e+19,2.3569643159124348e-05,0.0,28.44022853670118
2.11,0.8565412344269395,1.2026595092384193e+19,2.3559831734465768e-05,0.0,28.498690660357525
2.12,0.853121912691804,1.2036113838204312e+19,2.3549993396718666e-05,0.0,28.557119003126044
2.13,0.8497162409254715,1.2045632203282213e+19,2.3540128233241207e-05,0.0,28.61551369986042
2.14,0.846324164637121,1.2055150187633125e+19,2.353023633127576e-05,0.0,28.67387488487598
2.15,0.8429456295534596,1.2064667791272278e+19,2.3520317777948726e-05,0.0,28.732202691951862
2.16,0.8395805816178539,1.20741850142149e+19,2.351037266027042e-05,0.0,28.790497254333154
2.17,0.836228966989465,1.2083701856476217e+19,2.3500401065134888e-05,0.0,28.848758704733044
2.18,0.8328907320423875,1.2093218318071458e+19,2.349040307931978e-05,0.0,28.906987175334883
2.19,0.8295658233647909,1.2102734399015848e+19,2.34803787894862e-05,0.0,28.96518279779441
2.2,0.8262541877580655,1.2112250099324613e+19,2.3470328282178555e-05,0.0,29.023345703241745
2.21,0.8229557722359709,1.2121765419012977e+19,2.346025164382442e-05,0.0,29.08147602228356
2.22,0.8196705240237885,1.2131280358096165e+19,2.34501489607344e-05,0.0,29.139573885005106
2.23,0.8163983905574766,1.2140794916589402e+19,2.3440020319101984e-05,0.0,29.19763942097238
2.24,0.8131393194828302,1.2150309094507911e+19,2.3429865805003394e-05,0.0,29.255672759234134
2.25,0.8098932586546425,1.2159822891866915e+19,2.3419685504397465e-05,0.0,29.313674028323938
2.2600000000000002,0.8066601561358708,1.2169336308681636e+19,2.3409479503125532e-05,0.0,29.37164335626227
2.27,0.8034399601968061,1.2178849344967295e+19,2.339924788691122e-05,0.0,29.42958087055856
2.2800000000000002,0.8002326193142445,1.2188362000739113e+19,2.338899074136042e-05,0.0,29.487486698213196
2.29,0.7970380821706635,1.219787427601231e+19,2.3378708151961054e-05,0.0,29.54536096571959
2.3000000000000003,0.7938562976534007,1.2207386170802106e+19,2.3368400204083022e-05,0.0,29.603203799066193
2.31,0.7906872148538359,1.221689768512372e+19,2.335806698297803e-05,0.0,29.661015323738486
2.32,0.7875307830665766,1.222640881899237e+19,2.334770857377951e-05,0.0,29.71879566472108
2.33,0.7843869517886471,1.2235919572423272e+19,2.3337325061502425e-05,0.0,29.776544946499527
2.34,0.7812556707186797,1.2245429945431648e+19,2.3326916531043226e-05,0.0,29.83426329306257
2.35,0.7781368897561106,1.2254939938032712e+19,2.331648306717967e-05,0.0,29.891950827903862
2.36,0.7750305590003778,1.2264449550241677e+19,2.3306024754570718e-05,0.0,29.94960767402416
2.37,0.7719366287501229,1.2273958782073764e+19,2.329554167775646e-05,0.0,30.007233953933152
2.38,0.7688550495023959,1.2283467633544184e+19,2.328503392115791e-05,0.0,30.064829789651487
2.39,0.7657857719518631,1.2292976104668152e+19,2.3274501569076976e-05,0.0,30.12239530271269
2.4,0.7627287469900184,1.2302484195460882e+19,2.326394470569629e-05,0.0,30.179930614165137
2.41,0.7596839257043969,1.2311991905937586e+19,2.325336341507913e-05,0.0,30.23743584457397
2.42,0.7566512593777933,1.2321499236113478e+19,2.324275778116931e-05,0.0,30.294911114023023
2.43,0.7536306994874816,1.2331006186003767e+19,2.323212788779101e-05,0.0,30.3523565421168
2.44,0.750622197704439,1.2340512755623668e+19,2.322147381864876e-05,0.0,30.409772247982268
2.45,0.747625705892573,1.2350018944988387e+19,2.3210795657327255e-05,0.0,30.467158350270914
2.46,0.7446411761079507,1.2359524754113139e+19,2.3200093487291328e-05,0.0,30.5245149671605
2.47,0.7416685605980315,1.2369030183013128e+19,2.3189367391885744e-05,0.0,30.58184221635708
2.48,0.7387078118009043,1.2378535231703566e+19,2.31786174543352e-05,0.0,30.639140215096795
2.49,0.7357588823445249,1.2388039900199662e+19,2.3167843757744168e-05,0.0,30.696409080147767
2.5,0.7328217250459591,1.239754418851662e+19,2.315704638509678e-05,0.0,30.75364892781201
2.5100000000000002,0.7298962929106275,1.2407048096669649e+19,2.3146225419256793e-05,0.0,30.810859873927207
2.52,0.7269825391315536,1.2416551624673956e+19,2.3135380942967446e-05,0.0,30.86804203386869
2.5300000000000002,0.7240804170886148,1.2426054772544743e+19,2.3124513038851352e-05,0.0,30.925195522551135
2.54,0.7211898803477964,1.243555754029722e+19,2.3113621789410464e-05,0.0,30.982320454430557
2.5500000000000003,0.7183108826604488,1.2445059927946588e+19,2.3102707277025928e-05,0.0,31.039416943505984
2.56,0.7154433779625478,1.2454561935508052e+19,2.309176958395799e-05,0.0,31.096485103321385
2.57,0.7125873203739569,1.2464063562996816e+19,2.308080879234597e-05,0.0,31.15352504696751
2.58,0.7097426641976938,1.247356481042808e+19,2.3069824984208083e-05,0.0,31.210536887083567
2.59,0.706909363919199,1.248306567781705e+19,2.305881824144143e-05,0.0,31.26752073585916
2.6,0.7040873742056076,1.2492566165178923e+19,2.3047788645821867e-05,0.0,31.32447670503604
2.61,0.701276649905024,1.2502066272528902e+19,2.3036736279003943e-05,0.0,31.381404905909818
